25
48
1      17      33
1       2      95
1      18      27
1       9       4
2      18      68
2      19      50
2      13      40
3       6      46
3      11      44
3      25      58
3       5      45
4      16      78
4       6      91
4      20      27
4      18      50
5      12      50
5      16      15
5      19      58
6      22      37
6      20      69
7      21      51
7      19      65
7      25      76
7      11      30
8      22      62
8      18      49
8      10      66
8      24      40
9      24      14
9      10      58
9      20      28
10      11      10
10      15      56
11      13      57
12      17      68
12      16      51
12      15      48
13      24      62
13      22      56
14      17      72
14      24      26
14      25      68
14      16      75
15      19      27
15      21      22
17      25      88
20      22      47
21      23      65
