80 395 
1 41   496 
1 42   874 
2 42   952 
2 43   550 
3 43   588 
3 44   412 
4 44   504 
4 45   557 
5 45   947 
5 46   501 
6 46    78 
6 47   181 
7 47   155 
7 48   972 
8 48   368 
8 49   300 
9 49   503 
9 50   686 
10 50   229 
10 51   927 
11 51   407 
11 52   482 
12 52    81 
12 53    82 
13 53   607 
13 54   992 
14 54   426 
14 55    29 
15 55   896 
15 56   483 
16 56   379 
16 57   241 
17 57   579 
17 58   918 
18 58   491 
18 59    88 
19 59   108 
19 60   319 
20 60   231 
20 61   284 
21 61   845 
21 62   942 
22 62    32 
22 63     2 
23 63   821 
23 64   774 
24 64   249 
24 65   542 
25 65   392 
25 66   824 
26 66   242 
26 67   163 
27 67   109 
27 68   253 
28 68   951 
28 69   374 
29 69   611 
29 70    87 
30 70   364 
30 71   345 
31 71   438 
31 72   909 
32 72    75 
32 73    86 
33 73   683 
33 74    25 
34 74   926 
34 75   750 
35 75   447 
35 76   802 
36 76   347 
36 77   787 
37 77   793 
37 78   126 
38 78   764 
38 79   689 
39 79   146 
39 80   672 
40 80   575 
1 43    42 
1 44    88 
1 50   175 
1 53    48 
1 67    85 
1 69    97 
1 71    67 
1 79    37 
2 41   148 
2 45   137 
2 53   154 
2 60    90 
2 69     7 
2 75   133 
3 48   141 
3 49   127 
3 50   120 
3 52   164 
3 54    37 
3 55    60 
3 56   125 
3 60   141 
3 61    43 
3 67   123 
3 69   107 
3 70     0 
3 80   185 
4 54   131 
4 58   166 
4 76    76 
5 44     3 
5 55    55 
5 64   117 
5 73   139 
6 41    24 
6 45   112 
6 52   115 
6 54   195 
6 61     3 
6 78   193 
7 49   185 
7 50    74 
7 54   198 
7 56    94 
7 64   114 
7 65    86 
7 67   176 
7 79   116 
8 50    55 
8 57   189 
8 63   198 
8 69    80 
8 70   164 
8 72    75 
8 80     8 
9 41   148 
9 44    64 
9 46    96 
9 51    76 
9 52   127 
9 55    94 
9 59   178 
9 60    79 
9 66    51 
9 67   177 
9 71    19 
10 64   170 
10 68     3 
10 70   148 
10 76    95 
10 77   188 
10 79    61 
11 42   126 
11 50   194 
11 54   172 
11 58    25 
11 73    73 
12 41   188 
12 43   176 
12 44    51 
12 45    64 
12 65     1 
12 68    98 
12 75    62 
12 79    35 
12 80    98 
13 45    44 
13 47   111 
13 49   141 
13 57    84 
13 58    81 
13 60   183 
13 63    61 
13 76   144 
14 43   105 
14 45   149 
14 47   130 
14 49    46 
14 51   134 
14 53    60 
14 56    55 
14 59   144 
14 63   194 
14 68    39 
15 43     4 
15 44   186 
15 46   186 
15 48   165 
15 50    30 
15 57   125 
15 60    21 
15 73    71 
15 77    78 
16 45    80 
16 46   178 
16 47   159 
16 48    47 
16 50    37 
16 54    17 
16 67   139 
17 42   142 
17 46   167 
17 52    72 
17 53   188 
17 55    85 
17 67    45 
17 68    93 
17 75   150 
17 76   128 
18 49    97 
18 54    43 
18 55    25 
18 56    24 
18 57   159 
18 60    93 
18 65    80 
18 66   152 
18 68   151 
18 70   102 
18 72    34 
19 53   139 
19 61    83 
19 68   173 
19 71   139 
19 73   195 
19 74   155 
20 41   131 
20 44    52 
20 46   164 
20 50    16 
20 54    80 
20 55    24 
20 58    44 
20 65   176 
20 66   108 
20 67    42 
20 69    96 
20 73   167 
20 76   192 
21 41   187 
21 46   161 
21 53    71 
21 59   197 
21 66   188 
21 70    55 
21 75   143 
21 76     9 
21 77   156 
21 80    65 
22 43   198 
22 49   109 
22 51   106 
22 52   181 
22 55    92 
22 57    32 
22 78   190 
23 45   189 
23 47    65 
23 65    32 
23 80    39 
24 43   150 
24 50   187 
24 51   171 
24 55    84 
24 59   148 
24 60    83 
24 61    49 
24 62    94 
24 63    64 
24 73   197 
25 48    47 
25 50    47 
25 53   196 
25 60    67 
25 62   160 
25 69    64 
25 70   119 
25 78   107 
25 79    38 
25 80   194 
26 41    65 
26 48    75 
26 52   170 
26 53   196 
26 55   127 
26 56    64 
26 63   106 
26 65    22 
26 68    98 
26 74    88 
26 75   172 
27 41   135 
27 47   184 
27 51   175 
27 66   199 
27 70    30 
28 43    91 
28 46    60 
28 48   104 
